T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;4.2981e-08;3.5969e-08;4.5477e-08;4.5476e-08;0.0034101;0.0028537;0.0036081;0.0030111
0.01;1.4653e-07;1.2619e-07;1.6854e-07;1.6854e-07;0.0014984;0.001537;0.0026569;0.00251
0.015;2.1642e-07;2.1271e-07;2.9737e-07;2.9738e-07;-0.0042014;-0.0018499;-0.0022017;6.4186e-05
0.02;1.75e-07;2.6174e-07;3.5379e-07;3.5382e-07;-0.0047391;-0.0011713;-0.0036157;0.00068687
0.025;6.2119e-08;2.9653e-07;3.4238e-07;3.4242e-07;-0.00098999;4.1752e-05;-0.0018215;0.0013313
0.03;-4.0529e-08;3.2062e-07;3.0155e-07;3.0156e-07;0.0018244;-0.00088641;-0.00052107;-3.2128e-05
0.035;-9.7807e-08;3.2023e-07;2.4737e-07;2.4736e-07;0.0018183;-0.0010854;-0.00054216;-0.00062313
0.04;-1.0992e-07;3.0956e-07;1.9387e-07;1.9387e-07;0.0017864;0.00025943;0.00058344;0.00043063
0.045;-6.4741e-08;3.1079e-07;1.8401e-07;1.8404e-07;0.0027941;0.00070235;0.0029062;0.00085965
0.05;4.671e-08;3.162e-07;2.6233e-07;2.6235e-07;0.0025203;-0.00036228;0.0041581;4.8677e-06
0.055;1.8773e-07;2.9109e-07;4.2748e-07;4.2744e-07;-0.00014364;-0.0020778;0.0028039;-0.0018729
0.06;2.7858e-07;2.0963e-07;6.1552e-07;6.1536e-07;-0.0038679;-0.0024422;-0.00096309;-0.003403
0.065;2.4978e-07;1.0015e-07;7.3051e-07;7.3012e-07;-0.0057214;0.00018389;-0.0048861;-0.0026509
0.07;1.0168e-07;3.3253e-08;7.0295e-07;7.0235e-07;-0.0038428;0.0032301;-0.006533;-0.00090914
0.075;-9.2743e-08;4.3231e-08;5.2534e-07;5.2474e-07;0.00013359;0.0029426;-0.005483;-0.0009375
0.08;-2.5277e-07;8.4946e-08;2.3678e-07;2.3644e-07;0.002633;-0.0003933;-0.003394;-0.002953
0.085;-3.4495e-07;8.8751e-08;-1.0642e-07;-1.0641e-07;0.0028036;-0.0026554;-0.0009802;-0.0042882
0.09;-3.6074e-07;5.1768e-08;-4.241e-07;-4.2375e-07;0.0032988;-0.00063286;0.0030113;-0.002356
0.095;-2.8548e-07;4.2855e-08;-6.1779e-07;-6.1728e-07;0.0039904;0.0028828;0.0069156;0.00090997
0.1;-1.4498e-07;9.5783e-08;-6.507e-07;-6.503e-07;0.0012532;0.0020975;0.0059824;0.0007159
