T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;3.7235e-08;3.1356e-08;4.5489e-08;3.7995e-08;0.0029542;0.0024877;0.003609;0.0030145
0.01;1.1652e-07;1.0138e-07;1.6874e-07;1.4473e-07;0.00047162;0.00065579;0.0026698;0.0025305
0.015;1.4773e-07;1.5155e-07;2.9879e-07;2.8464e-07;-0.0043398;-0.0022685;-0.0021318;0.00010894
0.02;8.6851e-08;1.6628e-07;3.5891e-07;4.3408e-07;-0.0030631;-0.00058892;-0.0034881;0.00063879
0.025;1.5101e-09;1.8384e-07;3.5035e-07;6.0065e-07;0.001106;0.00083234;-0.0020125;0.00074546
0.03;-4.5036e-08;2.0248e-07;2.9308e-07;7.5362e-07;0.0020246;-0.00073314;-0.0018693;-0.0018206
0.035;-6.2011e-08;1.9798e-07;1.7019e-07;8.3681e-07;0.00034475;-0.0011359;-0.0033764;-0.0037758
0.04;-6.5138e-08;1.864e-07;-2.4413e-08;8.3252e-07;0.00074334;0.00056396;-0.0023836;-0.0032338
0.045;-2.909e-08;1.9149e-07;-2.2251e-07;7.6092e-07;0.0023934;0.00078628;0.0020904;-0.0021486
0.05;5.9418e-08;1.9571e-07;-3.153e-07;6.3864e-07;0.0018201;-0.00085163;0.0063447;-0.0019007
0.055;1.5428e-07;1.5602e-07;-2.4702e-07;4.5708e-07;-0.0013017;-0.002663;0.0065674;-0.0028348
0.06;1.7603e-07;5.0273e-08;-6.5816e-08;1.9743e-07;-0.004553;-0.002636;0.0024848;-0.0034198
0.065;7.5886e-08;-8.7942e-08;1.1718e-07;-1.2423e-07;-0.005216;2.6422e-05;-0.0023473;-0.0015562
0.07;-1.124e-07;-1.9318e-07;2.0506e-07;-4.502e-07;-0.0018574;0.002621;-0.0052743;0.0012134
0.075;-2.872e-07;-2.3814e-07;1.4788e-07;-7.3556e-07;0.0029391;0.0022197;-0.0063377;0.0020505
0.08;-3.6356e-07;-2.5849e-07;-7.3308e-08;-9.7949e-07;0.004958;-0.00024649;-0.0067831;0.0012674
0.085;-3.3287e-07;-2.9793e-07;-4.4833e-07;-1.187e-06;0.003619;-0.0012957;-0.0055376;0.0016368
0.09;-2.2961e-07;-3.4292e-07;-8.8985e-07;-1.3164e-06;0.0021788;0.00083578;0.00018987;0.0045931
0.095;-8.4891e-08;-3.4096e-07;-1.2265e-06;-1.3009e-06;0.0011395;0.0029311;0.0081965;0.0070173
0.1;4.3351e-08;-2.9228e-07;-1.3176e-06;-1.1399e-06;-0.0024378;0.00083441;0.011489;0.0046489
0.105;5.4658e-08;-2.6152e-07;-1.1684e-06;-9.2159e-07;-0.0069226;-0.0022777;0.0077728;-6.2318e-05
0.11;-9.4543e-08;-2.6958e-07;-8.8984e-07;-7.2063e-07;-0.0059597;-0.00085982;0.0025624;-0.0013531
0.115;-3.0483e-07;-2.5491e-07;-5.7626e-07;-5.333e-07;0.0010501;0.0026814;0.00022093;0.00025618
0.12;-4.2171e-07;-1.6958e-07;-2.8291e-07;-3.3438e-07;0.0064514;0.0029969;-0.0018289;0.00068508
0.125;-3.8115e-07;-4.3219e-08;-7.7776e-08;-1.3357e-07;0.0061721;0.00029373;-0.005224;-0.00052983
0.13;-2.0887e-07;7.3397e-08;-1.5351e-09;5.9426e-08;0.0043588;-0.00109;-0.0051198;-0.00011155
0.135;6.0556e-08;1.7888e-07;2.0151e-08;2.8732e-07;0.0034105;0.00018863;0.00072912;0.0028929
0.14;3.6654e-07;2.9299e-07;1.4193e-07;6.0781e-07;-0.00045956;0.00051627;0.0072897;0.0045331
