T;DXP (m);DZP (m);DXU (m);DZU (m);AXP (m/s^2);AZP (m/s^2);AXU (m/s^2);AZU (m/s^2)
0.005;4.3847e-08;3.676e-08;4.5477e-08;3.7955e-08;0.0034787;0.0029165;0.0036081;0.0030113
0.01;1.5491e-07;1.3401e-07;1.6853e-07;1.4433e-07;0.0019592;0.0019715;0.0026562;0.0025087
0.015;2.4775e-07;2.4296e-07;2.9728e-07;2.8289e-07;-0.0034243;-0.0010512;-0.0022068;5.0687e-05
0.02;2.4062e-07;3.2925e-07;3.5334e-07;4.3038e-07;-0.0046037;-0.00077923;-0.0036322;0.00064881
0.025;1.4976e-07;4.0284e-07;3.4102e-07;6.0184e-07;-0.0021055;-0.00022697;-0.0018489;0.001279
0.03;3.3233e-08;4.5629e-07;2.9867e-07;7.8805e-07;6.1978e-05;-0.0013757;-0.00054295;-8.9351e-05
0.035;-7.167e-08;4.7242e-07;2.426e-07;9.6421e-07;0.00087277;-0.0016236;-0.00055048;-0.0007274
0.04;-1.37e-07;4.6633e-07;1.8668e-07;1.1343e-06;0.0022853;-0.0001595;0.00055021;0.00023331
0.045;-1.238e-07;4.6527e-07;1.7225e-07;1.3145e-06;0.0039989;0.00057222;0.002768;0.0005898
0.05;-1.1042e-08;4.6864e-07;2.407e-07;1.4988e-06;0.0039793;-0.00021167;0.0038732;-0.00025971
0.055;1.6688e-07;4.4614e-07;3.8881e-07;1.6555e-06;0.0012481;-0.0018555;0.0025125;-0.0019436
0.06;3.2059e-07;3.6785e-07;5.5746e-07;1.7514e-06;-0.0031811;-0.0026167;-0.00086153;-0.0029283
0.065;3.5619e-07;2.5011e-07;6.6652e-07;1.7947e-06;-0.0062817;-0.00055726;-0.0039139;-0.0013009
0.07;2.4003e-07;1.5624e-07;6.6979e-07;1.8386e-06;-0.0058784;0.0024712;-0.0045635;0.0013575
0.075;1.9077e-08;1.3107e-07;5.7776e-07;1.9235e-06;-0.002517;0.0030428;-0.0030683;0.0019362
0.08;-2.2147e-07;1.5144e-07;4.2661e-07;2.032e-06;0.00095609;0.00061295;-0.0016552;-3.7267e-05
0.085;-4.1385e-07;1.5838e-07;2.4218e-07;2.1157e-06;0.0029059;-0.0016969;-0.0010057;-0.001952
0.09;-5.0927e-07;1.3596e-07;5.5362e-08;2.1624e-06;0.0048454;-0.00067335;0.00080414;-0.0010302
0.095;-4.6821e-07;1.2952e-07;-8.2646e-08;2.2106e-06;0.0060827;0.0019533;0.0031038;0.0011497
0.1;-3.1178e-07;1.6382e-07;-1.576e-07;2.274e-06;0.003174;0.0013321;0.0019668;9.9487e-05
0.105;-1.5423e-07;1.8998e-07;-2.3962e-07;2.2941e-06;-0.0030742;-0.0019792;-0.0025219;-0.0035662
0.11;-1.1125e-07;1.5405e-07;-4.0978e-07;2.2073e-06;-0.006125;-0.0030095;-0.004556;-0.005006
